Date,Open,High,Low,Close,Volume,SMA_10,SMA_50,RSI
2015-01-02,49.15142822265625,50.33142852783203,48.73143005371094,49.84857177734375,13475000,,,
2015-01-05,49.25857162475586,49.25857162475586,47.14714431762695,47.31142807006836,18165000,,,
2015-01-06,47.34714126586914,47.63999938964844,45.66143035888672,46.50143051147461,16037700,,,
2015-01-07,47.34714126586914,47.42142868041992,46.271427154541016,46.74285888671875,9849700,,,
2015-01-08,47.119998931884766,47.83571243286133,46.478572845458984,47.779998779296875,9601900,,,
2015-01-09,47.63142776489258,48.02000045776367,46.89857101,47.04142761230469,9578100,,,
2015-01-12,47.09000015258789,47.198570251464844,45.264286041259766,45.547142028808594,12944400,,,
2015-01-13,46.021427154541016,47.04857254,45.900001525878906,46.255714416503906,18721500,,,
2015-01-14,47.07143020629883,47.369998931884766,45.68000030517578,46.31999969482422,19884900,,,
2015-01-15,46.547142028808594,46.78571319580078,45.84428787231445,46.25143051147461,11669000,46.96000022888184,,
2015-01-16,46.85714340209961,48.25,46.38142776489258,48.191429138183594,19696600,46.79428596496582,,
2015-01-20,48.57143020629883,50,47.71428680419922,49.82857131958008,40551000,47.04600028991699,,
2015-01-21,59.23428726196289,59.24000168,57.40999984741211,58.468570709228516,66902500,48.24271430969238,,
2015-01-22,58.57143020629883,61.37428665161133,57.82857131958008,61.20571517944336,33319300,49.68899993896484,,75.06622259514441
2015-01-23,60.98857116699219,62.74285888671875,60.88142776489258,62.494285583496094,26784100,51.16042861938477,,76.40812341451586
2015-01-26,62.57143020629883,63.89857101,61.95714188,63.79428482055664,21268800,52.83571434020996,,86.29673174327858
2015-01-27,63.08714294433594,65.33999633789062,63.04999923706055,64.88143157958984,24612700,54.76914329528809,,89.98633485465201
2015-01-28,64.74143219,64.82142639160156,63.08142852783203,63.20857238769531,24532900,56.46442909240723,,83.72147564912693
2015-01-29,63.20428466796875,63.92714309692383,62.5,63.400001525878906,15127700,58.17242928,,83.13735360192672
2015-01-30,63.13285827636719,63.98428726196289,62.65571212768555,63.11428451538086,13215300,59.85871467590332,,84.76607630774532
2015-02-02,62.842857360839844,63.42856979370117,61.95571517944336,63.00999832,12990600,61.340571594238284,,90.18936250047628
2015-02-03,63.31999969482422,65.4671402,62.72999954223633,65.27428436279297,16440200,62.88514289855957,,90.84492964872864
2015-02-04,65.04142761230469,65.17428588867188,63.88999938964844,64.10143280029297,12450900,63.448429107666016,,86.45230330144148
2015-02-05,64.54142761230469,65.13857269,63.665714263916016,64.12999725341797,14248500,63.74085731506348,,86.71164407221764
2015-02-06,64.25,64.42857360839844,63.17571258544922,63.47999954223633,8898400,63.83942871,,83.14955453554559
2015-02-09,63.198570251464844,63.78571319580078,62.637142181396484,63.29571533203125,8173200,63.78957176208496,,81.16364925485256
2015-02-10,63.459999084472656,65.15714263916016,63.10142899,64.84999847,15418900,63.786428451538086,,71.97246541166989
2015-02-11,64.83000183105469,66.14142608642578,64.55714416503906,64.98428344726562,13953100,63.963999557495114,,65.85161403
2015-02-12,65.05857086,65.60713958740234,64.45143127441406,65.24714660644531,8464400,64.14871406555176,,62.63608844137761
2015-02-13,65.42857360839844,66.62999725341797,65.42285919189453,66.58571625,12968900,64.49585723876953,,62.767923166016836
2015-02-17,66.51571655273438,67.37142944335938,65.94428253173828,67.13714599609375,11170600,64.90857200622558,,60.84926015679011
2015-02-18,67.02285766601562,68.06999969482422,66.64571380615234,67.86571502685547,10316600,65.16771507263184,,74.63727462351147
2015-02-19,67.85713958740234,68.71428680419922,67.57428741455078,67.80000305175781,10432100,65.53757209777832,,73.59073349597247
2015-02-20,67.94999694824219,68.37428283691406,67.63714599609375,68.31428527832031,9422000,65.95600090026855,,77.21298430523443
2015-02-23,68.30000305175781,68.31428527832031,67.14286041259766,67.40571594238281,9031400,66.34857254,,71.21782877193345
2015-02-24,67.37285614013672,68.08428955078125,67.35571289,67.83999633789062,6075300,66.80300064086914,,65.04191517131501
2015-02-25,67.80714416503906,68.79428864,67.80714416503906,68.33285522460938,6854400,67.15128631591797,,76.95671826775863
2015-02-26,68.62571716308594,69.5,68.43000030517578,69.00428771972656,10852800,67.55328674316407,,78.70127863
2015-02-27,69.08142852783203,69.42857360839844,67.81857299804688,67.84428405761719,11516400,67.81300048828125,,74.24219244309265
